Facets,Cleaned_Facet,Category,Description,Weight,Prompt_Template
Decision-Making Confidence,Decision-Making Confidence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decision-Making Confidence.",1.0,"Rate how strongly the text exhibits 'Decision-Making Confidence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decision-Making Confidence.)"
Alignment with societal roles,Alignment with societal roles,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Alignment with societal roles.",1.0,"Rate how strongly the text exhibits 'Alignment with societal roles' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Alignment with societal roles.)"
Connectedness: Belief in interconnections,Connectedness: Belief in interconnections,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Connectedness: Belief in interconnections.",1.0,"Rate how strongly the text exhibits 'Connectedness: Belief in interconnections' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Connectedness: Belief in interconnections.)"
Quirkiness,Quirkiness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Quirkiness.",1.0,"Rate how strongly the text exhibits 'Quirkiness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Quirkiness.)"
Creative resilience,Creative resilience,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Creative resilience.",1.0,"Rate how strongly the text exhibits 'Creative resilience' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Creative resilience.)"
Rapid cognitive processing,Rapid cognitive processing,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Rapid cognitive processing.",1.0,"Rate how strongly the text exhibits 'Rapid cognitive processing' (Assesses logical coherence, analytical reasoning, and structured processing associated with Rapid cognitive processing.)"
Cordiality,Cordiality,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cordiality.",1.0,"Rate how strongly the text exhibits 'Cordiality' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cordiality.)"
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Types of Mindfulness Techniques Used.",1.0,"Rate how strongly the text exhibits 'Types of Mindfulness Techniques Used' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Types of Mindfulness Techniques Used.)"
Economic reasoning,Economic reasoning,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Economic reasoning.",1.0,"Rate how strongly the text exhibits 'Economic reasoning' (Assesses logical coherence, analytical reasoning, and structured processing associated with Economic reasoning.)"
Conformity,Conformity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conformity.",1.0,"Rate how strongly the text exhibits 'Conformity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conformity.)"
Pet-enrichment activities count,Pet-enrichment activities count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Pet-enrichment activities count.",1.0,"Rate how strongly the text exhibits 'Pet-enrichment activities count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Pet-enrichment activities count.)"
Aestheticism,Aestheticism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aestheticism.",1.0,"Rate how strongly the text exhibits 'Aestheticism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aestheticism.)"
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),Emotion,"Measures the presence, intensity, and nuance of emotion related to Type of Support Preferred (Emotional vs. Practical).",1.0,"Rate how strongly the text exhibits 'Type of Support Preferred (Emotional vs. Practical)' (Measures the presence, intensity, and nuance of emotion related to Type of Support Preferred (Emotional vs. Practical).)"
Mental Arithmetic Speed,Mental Arithmetic Speed,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Mental Arithmetic Speed.",1.0,"Rate how strongly the text exhibits 'Mental Arithmetic Speed' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Mental Arithmetic Speed.)"
Patience: Resistance to anger,Patience: Resistance to anger,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Patience: Resistance to anger.",1.0,"Rate how strongly the text exhibits 'Patience: Resistance to anger' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Patience: Resistance to anger.)"
Flawlessness,Flawlessness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Flawlessness.",1.0,"Rate how strongly the text exhibits 'Flawlessness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Flawlessness.)"
Self-Efficacy,Self-Efficacy,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-Efficacy.",1.0,"Rate how strongly the text exhibits 'Self-Efficacy' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-Efficacy.)"
Computer Skills:,Computer Skills,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Computer Skills.",1.0,"Rate how strongly the text exhibits 'Computer Skills' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Computer Skills.)"
899. Jewish spiritual metric: Shabbat candle-lighting consistency,Jewish spiritual metric: Shabbat candle-lighting consistency,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Jewish spiritual metric: Shabbat candle-lighting consistency.",1.0,"Rate how strongly the text exhibits 'Jewish spiritual metric: Shabbat candle-lighting consistency' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Jewish spiritual metric: Shabbat candle-lighting consistency.)"
Spelling Accuracy,Spelling Accuracy,Linguistic Quality,"Assesses structural, syntactic, and stylistic features of language production related to Spelling Accuracy.",1.0,"Rate how strongly the text exhibits 'Spelling Accuracy' (Assesses structural, syntactic, and stylistic features of language production related to Spelling Accuracy.)"
793. Sufi practice: Dhikr repetitions / day,Sufi practice: Dhikr repetitions / day,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Sufi practice: Dhikr repetitions / day.",1.0,"Rate how strongly the text exhibits 'Sufi practice: Dhikr repetitions / day' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Sufi practice: Dhikr repetitions / day.)"
Peacefulness,Peacefulness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Peacefulness.",1.0,"Rate how strongly the text exhibits 'Peacefulness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Peacefulness.)"
Doggedness,Doggedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Doggedness.",1.0,"Rate how strongly the text exhibits 'Doggedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Doggedness.)"
Decency,Decency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decency.",1.0,"Rate how strongly the text exhibits 'Decency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decency.)"
Processed-food frequency,Processed-food frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Processed-food frequency.",1.0,"Rate how strongly the text exhibits 'Processed-food frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Processed-food frequency.)"
